Feature,Mean_SHAP
Motivation_Score,0.6453876
academic_engagement_score,0.63970953
Attendance_Percent,0.51774645
Stress_Level,0.42354566
Anxiety_Score,0.39936408
lifestyle_risk_score,0.31616646
Screen_Time_Hours,0.2802751
financial_burden_score,0.19634812
Family_Support_Score,0.19292602
Part_Time_Job_enc,0.19246817
Family_Income_Bracket_enc,0.19140066
Peer_Pressure_Score,0.16119786
Social_Activity_Score,0.14198992
Previous_GPA,0.123698935
Counseling_Access_enc,0.11830573
Backlogs,0.1165761
Study_Hours_Per_Day,0.111799695
Sleep_Hours,0.09224465
Gender_enc,0.07883716
Age,0.073859125
Financial_Stress_Score,0.0610744
Department_enc,0.04001188
Year_of_Study,0.037248816
Exercise_Freq_Per_Week,0.036026623
Residence_Type_enc,0.01296905
